,SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA
2571,CC(=O)Nc1cc(c(cc1O)F)[N+](=O)[O-],mol2571,OK,214.15199999999996,1.3978999999999997,2,4,92.47
2572,Cc1cccc(c1)C(=O)Nc2ccc3c(c2)[nH]c(=O)[nH]3,mol2572,OK,267.28799999999995,2.4169199999999997,3,2,77.75
2573,Cc1ccc(cc1)NC(=O)c2c(=O)c3ccccc3n(n2)C,mol2573,Filter82_pyridinium > 0,293.326,2.4942200000000003,1,4,63.99
2574,C[C@@H]1CN(C[C@]1(C)O)C(=O)Cc2ccc3c(c2)OCO3,mol2574,OK,277.32,1.1870999999999998,1,4,59.0
2575,Cc1cccc(c1)N=Nc2c(c(c(=O)[nH]c2O)C#N)C,mol2575,Filter5_azo > 0,268.276,2.984420000000001,2,5,101.6
2576,c1ccc(cc1)COc2cccn3c2nc(n3)N,mol2576,OK,240.266,1.8904999999999996,1,5,65.44
2577,CC(C)(C)c1ccc(c(c1)N=Nc2ccccc2)O,mol2577,Filter5_azo > 0,254.33300000000003,5.105100000000005,1,3,44.95
2578,c1cc(c(cc1F)[N@]2CCC[C@H]2C(=O)O)[N+](=O)[O-],mol2578,OK,254.21699999999998,1.7872999999999997,1,4,83.68
2579,c1cc(cc(c1)S(=O)(=O)[N@]2CCCc3c2c(ccc3)F)S(=O)(=O)N,mol2579,OK,370.427,1.6146000000000003,1,4,97.54
2580,CCOc1cc(ccc1F)C(=O)C,mol2580,OK,182.19399999999996,2.4270000000000005,0,2,26.3
2581,CN1CCCN(c2c1nc3ccccc3n2)C(=O)/C=C/c4ccco4,mol2581,OK,334.3790000000001,3.1091000000000015,0,5,62.470000000000006
2582,C1C[C@H]2C=CC[C@@H]1N2,mol2582,OK,109.172,1.0669,1,1,12.03
2583,c1c(c(c(c(c1O)Cl)F)F)C(=O)O,mol2583,OK,208.54699999999997,2.0219999999999994,2,2,57.53
